finding_id	report	source_repo	source_paths	finding	disposition	preservation_evidence	future_verification
CAT-021	02	spicy-regs-landing	RefSpec symlink; PLAN.md:25	The dangling local RefSpec symlink contains no reusable capability; only its historical existence matters.	superseded	spicy-regs-landing@31a4bfe488c1:PLAN.md; live /Users/mikewolfd/Work/spicy-regs-landing/RefSpec symlink verified with missing target	No future technical verification is needed; do not recreate the link.
CAT-022	02	DocSpec	src/docspec/adapters/catalog_policy_workspace.py	Duplicate-key refusal now uses bounded disk-backed SQLite and is stronger and more scalable than predecessor in-memory maps.	durable-current-reference	DocSpec@444f8ec283a7:src/docspec/adapters/catalog_policy_workspace.py	Pin duplicate-key and large-workspace tests and record temporary-space limits.
CAT-023	02	spicysearch	docs/decisions/0007-metadata-first-search.md; src/spicysearch/source_catalog_metadata.py; docs/history/2026-08-15-full-catalog-metadata-build.md	Docket-versus-document meaning and the exact Federal Register join-evidence requirement survive at the consumer.	durable-current-reference	spicysearch@027a79cebf59:docs/decisions/0007-metadata-first-search.md; spicysearch@027a79cebf59:src/spicysearch/source_catalog_metadata.py; spicysearch@027a79cebf59:docs/history/2026-08-15-full-catalog-metadata-build.md	Rerun current reader tests; keep dated full-build evidence distinct from current runtime proof.
CAT-024	02	RefSpec; DocSpec	RefSpec docs/decisions.md REF-048; DocSpec source-catalog implementation	Catalog construction is intentionally DocSpec-owned; its absence from RefSpec is correct rather than a lost feature.	durable-current-reference	RefSpec@3464bda29d08:docs/decisions.md; DocSpec@444f8ec283a7:src/docspec/domain/source_catalog.py	Rerun package-boundary and ownership checks after package changes.
CAT-025	02	spicy-regs-landing	tests/test_source_catalog_release_tools.py; tests/test_source_catalog_published_universe.py	The reported 57 passing tests were not verified because collection was blocked by the dangling RefSpec link.	reproducible	spicy-regs-landing@31a4bfe488c1:tests/test_source_catalog_release_tools.py; spicy-regs-landing@31a4bfe488c1:tests/test_source_catalog_published_universe.py	Run the exact focused suite in a writable environment with installed RefSpec and record command, versions, collection count, and result.
DOC-001	03	spicy-regs	src/spicy_regs/docpipeline/relation_task.py	Leak-proof relation benchmark recursively excludes answer fields and binds two digest and time-bound blind reviews, disagreement resolution, separate scoring dimensions, and adversarial controls.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Demonstrate payload blindness and refusal of one, late, incomplete, or mismatched review using preserved fixtures.
DOC-002	03	spicy-regs	src/spicy_regs/docpipeline/segments.py	Tokenizer-version-bound minimum, maximum, and overlap packing prefers structural boundaries and greedily keeps intact regions.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Seal the tokenizer revision and rerun golden boundary, UTF-8, edge-budget, and overlap tests.
DOC-003	03	spicy-regs	src/spicy_regs/docpipeline/tag_task.py	Model labeling isolates gold and split fields, offers bounded concepts, uniquely resolves aliases, verifies or repairs exact offsets, maps source coordinates, and retains refusals.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Prove payload blindness, ambiguous-alias refusal, unique offset repair, and source-coordinate round trip.
DOC-004	03	spicy-regs	src/spicy_regs/docpipeline/rkaf_projection.py	RKAF assembly joins native Federal Register, proceeding, docket, RIN, CFR, and authority facts without reparsing prose and binds exact evidence plus deterministic and AI lineage.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Verify each emitted assertion resolves to exact source evidence and current Rulespec schemas.
DOC-005	03	spicy-regs	src/spicy_regs/docpipeline/document_release_segments.py	The sealed-release-to-model-input bridge proves boundaries, digests, fragments, and coverage while separating joined model text from citable source slices and retaining passage lineage.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Verify every model slice against the original release and require citations for each source slice in joined text.
DOC-006	03	spicy-regs	src/spicy_regs/docpipeline/runtime.py	Provider-free forensic rebuild preserves historical request, response, and work bytes, recomputes derived outputs, rescans secrets, and proves provider_invoked false.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Deny provider access, compare hashes before and after, and verify failed or unknown checks cannot become passes.
DOC-007	03	spicy-regs; DocSpec	src/spicy_regs/docpipeline/executor.py; src/docspec/domain/jobs.py; src/docspec/application/execution.py; src/docspec/domain/execution.py; src/docspec/adapters/execution.py; src/docspec/adapters/storage.py	Executor failure taxonomy, retry and idempotence, bounded execution, and immutable revision storage are replaced by current DocSpec.	superseded	DocSpec@444f8ec283a7:src/docspec/domain/jobs.py; DocSpec@444f8ec283a7:src/docspec/application/execution.py; DocSpec@444f8ec283a7:src/docspec/domain/execution.py; DocSpec@444f8ec283a7:src/docspec/adapters/execution.py; DocSpec@444f8ec283a7:src/docspec/adapters/storage.py	Rerun retry, terminal-failure, idempotency, and resource-bound tests; investigate only refusal-code differences.
DOC-008	03	spicy-regs; DocSpec	src/spicy_regs/docpipeline/runtime.py; src/docspec/domain/jobs.py; src/docspec/application/execution.py; src/docspec/domain/security.py; src/docspec/domain/receipts.py	Checkpoint and resume, recursive secret redaction, and content-addressed run evidence survive; forensic rebuild remains separately copied.	superseded	DocSpec@444f8ec283a7:src/docspec/domain/jobs.py; DocSpec@444f8ec283a7:src/docspec/application/execution.py; DocSpec@444f8ec283a7:src/docspec/domain/security.py; DocSpec@444f8ec283a7:src/docspec/domain/receipts.py	Rerun checkpoint-tamper, recursive-redaction, and receipt-identity tests without claiming rebuild parity.
DOC-009	03	spicy-regs; DocSpec	src/spicy_regs/docpipeline/segments.py; src/docspec/processing/segmentation.py; src/docspec/domain/content.py; src/docspec/processing/artifacts.py	Source-grounded segment identity, reversible coordinates, and artifact validation survive; token packing remains separately copied.	superseded	DocSpec@444f8ec283a7:src/docspec/processing/segmentation.py; DocSpec@444f8ec283a7:src/docspec/domain/content.py; DocSpec@444f8ec283a7:src/docspec/processing/artifacts.py	Rerun segment identity, evidence round-trip, and coverage tests without claiming tokenizer-boundary parity.
DOC-010	03	spicy-regs; DocSpec	src/spicy_regs/docpipeline/document_release_segments.py; src/docspec/domain/release.py; src/docspec/domain/content.py	Immutable release ownership and representation-to-source mappings survive; the model-input handoff remains separately copied.	superseded	DocSpec@444f8ec283a7:src/docspec/domain/release.py; DocSpec@444f8ec283a7:src/docspec/domain/content.py	Rerun release and evidence-mapping tests without claiming passage continuity through model packing.
DOC-011	03	spicy-regs; rulespec	src/spicy_regs/docpipeline/rkaf_projection.py; constraints/core/; crates/rkaf-validate/src/lib.rs; crates/rkaf-projector-json-ld/src/lib.rs	RKAF carrier shapes, validation, and JSON-LD attach and extract survive; native-facts assembly remains separately copied.	superseded	rulespec@93ae44d906be:constraints/core/; rulespec@93ae44d906be:crates/rkaf-validate/src/lib.rs; rulespec@93ae44d906be:crates/rkaf-projector-json-ld/src/lib.rs	Rerun conformance and round-trip fixtures without claiming derivation behavior.
DOC-012	03	spicy-regs; spicysearch	src/spicy_regs/docpipeline/tag_task.py; src/spicysearch/topic_tags.py	Snapshot tag identity, storage, and receipts survive; the model-labeling path remains separately copied.	superseded	spicysearch@027a79cebf59:src/spicysearch/topic_tags.py	Rerun tag storage, replay, and receipt tests without claiming provider-payload or grounding parity.
DOC-013	03	spicy-regs; rulespec	src/spicy_regs/docpipeline/relation_task.py; constraints/core/relationship-assertion.cue	Relationship record meaning survives declaratively; extraction, evaluation, and adjudication remain separately copied.	superseded	rulespec@93ae44d906be:constraints/core/relationship-assertion.cue	Rerun schema and conformance fixtures and state explicitly that they do not prove blindness or scoring.
V3-001	04	spicy-regs; DocSpec	src/spicy_regs/document_release_v3.py; src/spicy_regs/document_release_v3_writer.py; src/spicy_regs/document_release_v3_verify.py; src/spicy_regs/document_release_v3_compact.py; src/spicy_regs/document_release_v3_diff.py; src/spicy_regs/document_release_v3_cli.py; DocSpec docs/superpowers/specs/2026-08-05-docspec-standalone-platform-implementation-spec.md	DocSpec requires a Git-pinned v3 reader, verifier, and differential command but has no reader, receipt, pin, fixture, or test and cannot read v3.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Rescan current DocSpec for absence, then run any future pinned differential reader over the preserved bundles.
V3-002	04	spicy-regs	src/spicy_regs/document_release_v3_verify.py	Exact segment-to-rendition reversibility covers contiguous ordinals, complete normalized coverage, UTF-8-safe coordinates, text digests, and exact pack-byte slice equality.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run mutations for gaps, overlap, UTF-8 boundaries, digest differences, and slice mismatches and compare current DocSpec.
V3-003	04	spicy-regs	src/spicy_regs/document_release_v3_verify.py	Closed selected-or-prior-active reconciliation requires exactly one state and binds eligibility schema, digest, verdict, changes, inventory, and coverage balances.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run missing, duplicate, inconsistent, and false-count fixtures and settle ownership before adoption.
V3-004	04	spicy-regs	src/spicy_regs/document_release_v3_writer.py	The final artifact retains partition-scoped manifests and physical member reuse; DocSpec reuses storage partitions but rewrites final logical-layer members.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Measure unchanged member digest and path reuse across two incremental builds and compare DocSpec final artifacts.
V3-005	04	spicy-regs	src/spicy_regs/document_release_v3_diff.py	A bounded full outer active-set diff emits old and new version IDs and distinguishes add, delete, update, and eligibility.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run paired fixtures covering all four change kinds and confirm the memory bound.
V3-006	04	spicy-regs	src/spicy_regs/document_release_v3.py; src/spicy_regs/document_release_v3_verify.py	Stable first-failure codes cover format, membership, digest, path, schema, identity, foreign key, coordinate, evidence, and reconciliation failures.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run one negative fixture per code and verify deterministic first failure when defects are combined.
V3-007	04	spicy-regs	src/spicy_regs/document_release_v3_compact.py	Historical policy recommends compaction above 10 percent inactive rows or eight delta generations; DocSpec only proves equivalence after compaction.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Locate measurement support for the thresholds or label them historical policy rather than current authority.
V3-008	04	spicy-regs	src/spicy_regs/document_release_v3_writer.py	Digest-deduplicated identical rendition bytes may not claim conflicting media types; current DocSpec lacks cross-write media-type consistency.	copy	source-snapshots/spicy-regs-integrate-payload-prereqs-a6ab98a.tar.gz; source-snapshots/spicy-regs-local-history-2026-08-27.bundle	Run the equivalent two-write case against current DocSpec before adopting the refusal.
V3-009	04	spicy-regs; DocSpec	src/spicy_regs/document_release_v3.py; src/docspec/domain/release.py; src/docspec/domain/identity.py	The old v3 format identity, canonical integer-only JSON, and content IDs are replaced by closed docspec-document-release 1.1 identity.	superseded	DocSpec@444f8ec283a7:src/docspec/domain/release.py; DocSpec@444f8ec283a7:src/docspec/domain/identity.py	Rerun canonicalization and identity golden tests; retain old bytes only through the V3 migration snapshot.
V3-010	04	spicy-regs; DocSpec; rulespec	src/spicy_regs/document_release_v3_verify.py; src/spicy_regs/document_release_v3_writer.py; src/docspec/adapters/platform_artifact.py; src/docspec/adapters/storage.py	Complete membership, path and symlink safety, member digests, schemas, and atomic visibility survive through Rulespec admission and DocSpec publication.	superseded	DocSpec@444f8ec283a7:src/docspec/adapters/platform_artifact.py; DocSpec@444f8ec283a7:src/docspec/adapters/storage.py; rulespec@93ae44d906be:packages/rulespec-artifacts/src/rulespec_artifacts/_artifact.py	Rerun missing, extra, changed, symlink, root-swap, and no-replace tests while keeping v3 reconciliation separate.
V3-011	04	spicy-regs; DocSpec	src/spicy_regs/document_release_v3_writer.py; src/docspec/ports/blob_store.py; src/docspec/adapters/storage.py	Indexed rendition packs are replaced by content-addressed, chunk-written, range-readable blobs.	superseded	DocSpec@444f8ec283a7:src/docspec/ports/blob_store.py; DocSpec@444f8ec283a7:src/docspec/adapters/storage.py	Rerun blob deduplication, range, digest, and conditional-write tests while retaining the V3 media-type gap separately.
V3-012	04	spicy-regs; DocSpec	src/spicy_regs/document_release_v3_writer.py; src/docspec/adapters/storage.py	Row and estimated-byte bounded Parquet writes are replaced by stricter blob, record, member, open-handle, and merge-scratch bounds.	superseded	DocSpec@444f8ec283a7:src/docspec/adapters/storage.py	Rerun boundary and oversize refusal tests with measured memory and note that v3 could load one rendition whole.
V3-013	04	spicy-regs; DocSpec	src/spicy_regs/document_release_v3_verify.py; src/docspec/domain/delivery.py	Cross-layer uniqueness, file-to-representation-to-segment lineage, partition placement, and blob verification survive in disk-backed SQLite.	superseded	DocSpec@444f8ec283a7:src/docspec/domain/delivery.py	Rerun duplicate, foreign-key, partition, lineage, and blob mutation tests while keeping full-coverage slice equality separate.
V3-014	04	spicy-regs; DocSpec	src/spicy_regs/document_release_v3_compact.py; src/docspec/application/maintenance.py	DocSpec improves compaction equivalence by hashing every ordered logical record before and after and refusing any change.	superseded	DocSpec@444f8ec283a7:src/docspec/application/maintenance.py	Rerun exhaustive logical-equivalence and mutation tests while keeping the historical trigger policy separate.
