volume,year,last_page,source,evidence_id,evidence_date,source_url,fetched_at,source_sha256,corpus_lower_bound_1_58,note
16,1951,13175,govinfo-mods-issue-metadata,FR-1951-12-29,1951-12,https://www.govinfo.gov/metadata/pkg/FR-1951-12-29/mods.xml,2026-08-23T14:38:14.124266+00:00,7a6196e42285de994c571df8205bed9f39eb6b3ea6a49564c2fa75f4d697b56a,,
17,1952,11896,govinfo-mods-issue-metadata,FR-1952-12-31,1952-12,https://www.govinfo.gov/metadata/pkg/FR-1952-12-31/mods.xml,2026-08-23T14:38:14.685324+00:00,3f7a03c0558d3d06019cd4b1831bb68b1b1f5826bc7998db4a458b09defbcd34,,
18,1953,8912,govinfo-mods-issue-metadata,FR-1953-12-31,1953-12,https://www.govinfo.gov/metadata/pkg/FR-1953-12-31/mods.xml,2026-08-23T14:38:15.195695+00:00,313a00e25db772a7793820ee589e00c218e3df70127e3b66603adcf9cc270aaf,2489,
19,1954,9910,govinfo-mods-issue-metadata,FR-1954-12-31,1954-12,https://www.govinfo.gov/metadata/pkg/FR-1954-12-31/mods.xml,2026-08-23T14:38:15.692275+00:00,23e19943b686adfdeb5490aa26be6bf600b4531b9f0b6c0489eff39a60c1c3a3,4981,
20,1955,10196,govinfo-mods-issue-metadata,FR-1955-12-31,1955-12,https://www.govinfo.gov/metadata/pkg/FR-1955-12-31/mods.xml,2026-08-23T14:38:16.243292+00:00,86121346901c3e6936547d5d311514ae71eb0032c0d1315fc8269f6e2e7f26f1,2747,
21,1956,10528,govinfo-mods-issue-metadata,FR-1956-12-29,1956-12,https://www.govinfo.gov/metadata/pkg/FR-1956-12-29/mods.xml,2026-08-23T14:38:16.755753+00:00,9d9fe9f9494ebbecbbab34a12f4ff49b853e333f9cc34d0e5eeeb9f5a34a56ec,,
22,1957,11156,govinfo-mods-issue-metadata,FR-1957-12-31,1957-12,https://www.govinfo.gov/metadata/pkg/FR-1957-12-31/mods.xml,2026-08-23T14:38:17.263256+00:00,ceaae4c432e86984ae0585075d6b5ee66ab556796ca8e05c7e0f8935724d95ca,,
23,1958,10579,govinfo-mods-issue-metadata,FR-1958-12-31,1958-12,https://www.govinfo.gov/metadata/pkg/FR-1958-12-31/mods.xml,2026-08-23T14:38:17.803829+00:00,4e64d1f905c862f5fc607494d7a2779e6c46adf728795735f9d81244bafbcf66,,
24,1959,11116,govinfo-mods-issue-metadata,FR-1959-12-31,1959-12,https://www.govinfo.gov/metadata/pkg/FR-1959-12-31/mods.xml,2026-08-23T14:38:18.313709+00:00,404ae20b5b5bc4e093c5c2764ebc07293fca1d0782668dba83e704e2b64bb0c4,9565,
25,1960,14479,govinfo-mods-issue-metadata,FR-1960-12-31,1960-12,https://www.govinfo.gov/metadata/pkg/FR-1960-12-31/mods.xml,2026-08-23T14:38:19.064252+00:00,04999d258b1340ac04735a663d8f1c5378789c91d5777bf26a6b05e1f2f1c802,,
26,1961,12792,govinfo-mods-issue-metadata,FR-1961-12-30,1961-12,https://www.govinfo.gov/metadata/pkg/FR-1961-12-30/mods.xml,2026-08-23T14:38:19.785014+00:00,f21a674852489e5bd66b27a76bbe7e7c0f381d2c48bb8f3c9c09b68b1dd2e532,7315,
27,1962,13226,govinfo-mods-issue-metadata,FR-1962-12-29,1962-12,https://www.govinfo.gov/metadata/pkg/FR-1962-12-29/mods.xml,2026-08-23T14:38:20.296948+00:00,e377d3dc21f665991b1b9db9cd40a979e18fb40e1e29375e99a2478b91c6b430,11527,
28,1963,14842,govinfo-mods-issue-metadata,FR-1963-12-31,1963-12,https://www.govinfo.gov/metadata/pkg/FR-1963-12-31/mods.xml,2026-08-23T14:38:20.823341+00:00,287a6e80db7bda326a43659277dffe8e46afb709a88244ba6527576bb327460a,,
29,1964,19304,govinfo-mods-issue-metadata,FR-1964-12-31,1964-12,https://www.govinfo.gov/metadata/pkg/FR-1964-12-31/mods.xml,2026-08-23T14:38:21.336016+00:00,163823894a4d5f342de5898991f27f407c9efae432f268282b310d99c0a73f8e,,
30,1965,17206,govinfo-mods-issue-metadata,FR-1965-12-31,1965-12,https://www.govinfo.gov/metadata/pkg/FR-1965-12-31/mods.xml,2026-08-23T14:38:21.883754+00:00,2c77b915058585023be23101f80c55ade713bae5fb9cbd3b436c2206a887eafd,12319,
31,1966,16850,govinfo-mods-issue-metadata,FR-1966-12-31,1966-12,https://www.govinfo.gov/metadata/pkg/FR-1966-12-31/mods.xml,2026-08-23T14:38:22.526540+00:00,0ad983492b065c1bd2ab8c40d835f9f6c3db09f6756492c51d71561f8b6d47dd,,
32,1967,21087,govinfo-mods-issue-metadata,FR-1967-12-30,1967-12,https://www.govinfo.gov/metadata/pkg/FR-1967-12-30/mods.xml,2026-08-23T14:38:23.017747+00:00,e4e177027fad16f7756a1b67e5d1069a6582b13fb7726ad04cb88d239ae2ee2a,14303,
33,1968,20072,govinfo-mods-issue-metadata,FR-1968-12-31,1968-12,https://www.govinfo.gov/metadata/pkg/FR-1968-12-31/mods.xml,2026-08-23T14:38:23.538082+00:00,dacc37475228f4966e80a857a7484a7a5877477ebe222e78849ceb21437e2dd8,12426,
34,1969,20466,govinfo-mods-issue-metadata,FR-1969-12-31,1969-12,https://www.govinfo.gov/metadata/pkg/FR-1969-12-31/mods.xml,2026-08-23T14:38:24.047283+00:00,37eca063c83442abfb88f0910d19ddf615e3b19549c9ecd73d3aa3cb0d32baa4,13302,
35,1970,20036,govinfo-mods-issue-metadata,FR-1970-12-31,1970-12,https://www.govinfo.gov/metadata/pkg/FR-1970-12-31/mods.xml,2026-08-23T14:39:43.253435+00:00,539d8cfc8c7661f2640b7da29658fadcfd997149fe81169709493ad3bc72898c,10737,
36,1971,25447,govinfo-mods-issue-metadata,FR-1971-12-31,1971-12,https://www.govinfo.gov/metadata/pkg/FR-1971-12-31/mods.xml,2026-08-23T14:38:25.132404+00:00,204d85448d928d7811b822a330e92cf7ca7d0d0634efdacbcfe4a4f09e1d44f3,13747,
37,1972,28924,govinfo-mods-issue-metadata,FR-1972-12-30,1972-12,https://www.govinfo.gov/metadata/pkg/FR-1972-12-30/mods.xml,2026-08-23T14:38:25.621070+00:00,3b329a71f5ebd61ee3edeed24263349cd0e67140f266109c8352fdd8965f636f,12255,
38,1973,35591,govinfo-mods-issue-metadata,FR-1973-12-28,1973-12,https://www.govinfo.gov/metadata/pkg/FR-1973-12-28/mods.xml,2026-08-23T14:38:26.140139+00:00,1a890596cc21399076865f820d097719d5e4f4952f7e338fd91d0dd382ffda21,31260,
39,1974,45422,govinfo-mods-issue-metadata,FR-1974-12-31,1974-12,https://www.govinfo.gov/metadata/pkg/FR-1974-12-31/mods.xml,2026-08-23T14:38:26.637028+00:00,2bec6e1edbb65ddb4140aa14f59b1622ffaf72a50db3cd4bff18e46023e7a3a0,33103,
40,1975,60221,govinfo-mods-issue-metadata,FR-1975-12-31,1975-12,https://www.govinfo.gov/metadata/pkg/FR-1975-12-31/mods.xml,2026-08-23T14:38:27.157934+00:00,fe5632db4d2c0d1b038929a271d47e21f4ba393990f28412553cc5e22fd22e6d,57292,
41,1976,57072,govinfo-mods-issue-metadata,FR-1976-12-30,1976-12,https://www.govinfo.gov/metadata/pkg/FR-1976-12-30/mods.xml,2026-08-23T14:38:27.660166+00:00,d441207df322959054cf555e4075ffd5035468d9e351bf080afb5b8758a16813,52669,
42,1977,65603,govinfo-mods-issue-metadata,FR-1977-12-30,1977-12,https://www.govinfo.gov/metadata/pkg/FR-1977-12-30/mods.xml,2026-08-23T14:38:28.183931+00:00,8e0c6c1e402b0b45ce4e3ab30980283a1e6c2e63a3e3108327a37ae98c06cd5e,62462,
43,1978,61261,govinfo-mods-issue-metadata,FR-1978-12-29,1978-12,https://www.govinfo.gov/metadata/pkg/FR-1978-12-29/mods.xml,2026-08-23T14:38:28.695661+00:00,c13b831ce7e560a01617171bed64d6179f4b36b3f3ce644ba8efc42abe19bdc2,59465,
44,1979,77498,govinfo-mods-issue-metadata,FR-1979-12-31,1979-12,https://www.govinfo.gov/metadata/pkg/FR-1979-12-31/mods.xml,2026-08-23T14:38:29.203514+00:00,246401fc09a9de71d0f72771ff5ca8d7018d3ad0dd31d6d9a083bd7badbf2fa5,75666,
45,1980,87012,govinfo-mods-issue-metadata,FR-1980-12-31,1980-12,https://www.govinfo.gov/metadata/pkg/FR-1980-12-31/mods.xml,2026-08-23T14:38:29.707157+00:00,75dbd19fd43415ae6b68f3c50d974f3f0a799470bafc8488de42fcb765077414,83268,
46,1981,63554,govinfo-mods-issue-metadata,FR-1981-12-31,1981-12,https://www.govinfo.gov/metadata/pkg/FR-1981-12-31/mods.xml,2026-08-23T14:38:30.199024+00:00,2dd8605b58784ca7e301ac8c3066272ceff21bdba918f08c9f4ac047372a7211,59941,
47,1982,58494,govinfo-mods-issue-metadata,FR-1982-12-30,1982-12,https://www.govinfo.gov/metadata/pkg/FR-1982-12-30/mods.xml,2026-08-23T14:38:30.700486+00:00,6cc45e17b3a490b3a789c98b9b484fcbed1f72e7a22f23361b5356f97cc838bc,55075,
48,1983,57704,govinfo-mods-issue-metadata,FR-1983-12-30,1983-12,https://www.govinfo.gov/metadata/pkg/FR-1983-12-30/mods.xml,2026-08-23T14:38:31.262768+00:00,0b7bb7adaff840c1fddbf215dfdab8556389e9a8b96757b99aa490cdfcd312c5,57452,
49,1984,50998,govinfo-mods-issue-metadata,FR-1984-12-31,1984-12,https://www.govinfo.gov/metadata/pkg/FR-1984-12-31/mods.xml,2026-08-23T14:38:31.775483+00:00,74a298b748ba83fe1727ee230fa87ffb6b8257146b14db8d9bb0f5611964c406,50745,
50,1985,53480,govinfo-mods-issue-metadata,FR-1985-12-31,1985-12,https://www.govinfo.gov/metadata/pkg/FR-1985-12-31/mods.xml,2026-08-23T14:38:32.300713+00:00,db516ecf9b779ba997afaf910b31e4d176f23de63f2295768b749e472a78cc8c,52952,
51,1986,47418,govinfo-mods-issue-metadata,FR-1986-12-31,1986-12,https://www.govinfo.gov/metadata/pkg/FR-1986-12-31/mods.xml,2026-08-23T14:38:32.796085+00:00,eb5a1ecedc7f9913d7248cf6bcc259f281dddafb89aa9a6013b8d181ad9f2d88,61639,corpus cites a HIGHER page (61639) than the publisher last page (47418) -- corpus citation is itself suspect
52,1987,49654,govinfo-mods-issue-metadata,FR-1987-12-31,1987-12,https://www.govinfo.gov/metadata/pkg/FR-1987-12-31/mods.xml,2026-08-23T14:38:33.302090+00:00,84d7bdbe5a68a53102ef4067b24fc30d1f37598036a49901f22b81ecc4735ccd,82682,corpus cites a HIGHER page (82682) than the publisher last page (49654) -- corpus citation is itself suspect
53,1988,53376,govinfo-mods-issue-metadata,FR-1988-12-30,1988-12,https://www.govinfo.gov/metadata/pkg/FR-1988-12-30/mods.xml,2026-08-23T14:38:33.802412+00:00,175afb762ca8c6d36a62f2cee6afe9e67a19393fdde35ff3cee90877db6e72c7,53340,
54,1989,53822,govinfo-mods-issue-metadata,FR-1989-12-29,1989-12,https://www.govinfo.gov/metadata/pkg/FR-1989-12-29/mods.xml,2026-08-23T14:38:34.566572+00:00,104bc85e5fbaacfa7b4524433ae5999a6c2f01b1dad4143e739149ed838f242c,53660,
55,1990,53618,govinfo-mods-issue-metadata,FR-1990-12-31,1990-12,https://www.govinfo.gov/metadata/pkg/FR-1990-12-31/mods.xml,2026-08-23T14:38:35.068511+00:00,e81c9c46db3d1cfa25e26d049ccbd1e177c2299aa5618ca0da37b87fb50a9891,53610,
56,1991,67716,govinfo-mods-issue-metadata,FR-1991-12-31,1991-12,https://www.govinfo.gov/metadata/pkg/FR-1991-12-31/mods.xml,2026-08-23T14:38:35.565482+00:00,230c6abcbfc17e4ea9788448719b20fa638a79898ab3a7361bd7343f662b982b,67364,
57,1992,62920,govinfo-mods-issue-metadata,FR-1992-12-31,1992-12,https://www.govinfo.gov/metadata/pkg/FR-1992-12-31/mods.xml,2026-08-23T14:38:36.063174+00:00,bd3e945c73c688d92d03bf0b5650e134e771a8ffe6bab2fabb59da28b2280e49,80660,corpus cites a HIGHER page (80660) than the publisher last page (62920) -- corpus citation is itself suspect
58,1993,69684,govinfo-mods-issue-metadata,FR-1993-12-30,1993-12,https://www.govinfo.gov/metadata/pkg/FR-1993-12-30/mods.xml,2026-08-23T14:38:36.566906+00:00,98a84d4c28dd82482e1c4849b785aab1cd17df92e70d11ab79e1b2ccf9b78829,87939,corpus cites a HIGHER page (87939) than the publisher last page (69684) -- corpus citation is itself suspect
59,1994,68108,govinfo-mods-issue-metadata,FR-1994-12-30,1994-12-30,https://www.govinfo.gov/metadata/pkg/FR-1994-12-30/mods.xml,2026-08-23T14:41:00+00:00,702db722704c6442c3bde82ad2dd01363377da9124adefb319e61a8d9eefb6d4,,FR API (documents.json) gives 67119 from only 2 usable rows (see anomalies); govinfo mods.xml (67603-68108) used instead as the higher-confidence publisher figure
60,1995,67518,federal-register-api,95-31466,1995-12-29,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=1995-12-15&conditions%5Bpublication_date%5D%5Blte%5D=1995-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:13.167914+00:00,f485488dd36dbd7828412e981f2cdef10537ab464c58ef8d5d33d9cebaf66ce2,,
61,1996,69366,federal-register-api,96-32972,1996-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=1996-12-15&conditions%5Bpublication_date%5D%5Blte%5D=1996-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:14.283988+00:00,f7ed2d184707336a642a339ff4a66a2b04f12fef17b07957bf9bd049bddbdc91,,
62,1997,68530,federal-register-api,97-34224,1997-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=1997-12-15&conditions%5Bpublication_date%5D%5Blte%5D=1997-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:15.213061+00:00,db260708e0748f5fd9847195b192ab3a4850f131de66e0794a7cd079213cae9c,,
63,1998,72356,federal-register-api,98-34358,1998-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=1998-12-15&conditions%5Bpublication_date%5D%5Blte%5D=1998-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:16.099473+00:00,661cedd7323d0e5edaa95ac2e63b64dee7db718862c5d7b1ef97ca139d96b1d8,,
64,1999,73879,federal-register-api,99-33637,1999-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=1999-12-15&conditions%5Bpublication_date%5D%5Blte%5D=1999-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:17.191450+00:00,e46f643f2e0c835f3c5d3542d18f1464ea66f325e4cd372e3d57696726a5ef06,,
65,2000,83293,federal-register-api,00-33153,2000-12-29,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2000-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2000-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:18.208073+00:00,5280a8b9833b96c7b1a4d0ae164418b2e35a6f77596dd79d0ae7880d3bebaea3,,
66,2001,67702,federal-register-api,01-32254,2001-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2001-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2001-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:19.489985+00:00,c4f65c6cc9108e46fb076b5eebcc74154746fe7c3c96888831be0c154b404f59,,
67,2002,80332,federal-register-api,02-33008,2002-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2002-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2002-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:20.573357+00:00,022558ff1e062770e993ed5e89a46d4079385e74f019a39f651aea579d9992a4,,
68,2003,75795,federal-register-api,03-32320,2003-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2003-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2003-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:21.758656+00:00,98c817f4c25bd5d8e5bf7057d041f5fb240f2a05dd6f2dee8b94e0b7b8be6c9b,,
69,2004,78851,federal-register-api,04-28732,2004-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2004-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2004-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:22.814400+00:00,219f2b7d176854632c67765b75b78edde19c4642b39c65255912209c754befba,,
70,2005,77752,federal-register-api,05-24654,2005-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2005-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2005-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:24.052875+00:00,b96dbf877230ce03552ad4ee16ab475aa1c017d8d489e2fdfe0d30b1914f9b1d,,
71,2006,78724,federal-register-api,06-9961,2006-12-29,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2006-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2006-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:25.024786+00:00,e37974ac8353004fce25a303be59b2924e8bf033da63e90753c1dada26d16856,,
72,2007,74408,federal-register-api,E7-25334,2007-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2007-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2007-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:26.143767+00:00,62cf1cb0d67b9ca57f069df7af72586564940f2daff0c601bd0930dceeb82ef8,,
73,2008,80700,federal-register-api,E8-30669,2008-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2008-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2008-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:27.224736+00:00,9f5a059b93ce6153fdde14927108b2e8d4458425e5bc1ab544290d7bfb1c9be0,,
74,2009,69676,federal-register-api,E9-30967,2009-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2009-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2009-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:28.607723+00:00,aaced6538fb05450b66f2a4635823bda1d007b4cb7757d4f0ce7d3d6638bc2e5,,
75,2010,82589,federal-register-api,2010-33169,2010-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2010-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2010-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:29.573654+00:00,0502d4281ae04906f9a73421b1075bfc3fa22fa631983a14fdce0c0965e9a0d4,,
76,2011,82419,federal-register-api,2011-33515,2011-12-30,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2011-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2011-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:30.716827+00:00,7ee5c58ddaae21484e0904e1817a5d31cdf2b75be33b8808a2c982cc5422f162,,
77,2012,77249,federal-register-api,2012-31574,2012-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2012-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2012-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:32.028239+00:00,8949530269937f910d39470ef82de0457e911aa8dbee4b2bbfdd515f7ec277f0,,
78,2013,80462,federal-register-api,2013-31445,2013-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2013-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2013-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:33.420845+00:00,5150f8473647afc979faf5bcc12f7991c523436d06b29e318f3bcdfab3d0cbd5,,
79,2014,79066,federal-register-api,2014-30710,2014-12-31,https://www.federalregister.gov/api/v1/documents.json?conditions%5Bpublication_date%5D%5Bgte%5D=2014-12-15&conditions%5Bpublication_date%5D%5Blte%5D=2014-12-31&order=newest&per_page=1000&fields%5B%5D=end_page&fields%5B%5D=start_page&fields%5B%5D=volume&fields%5B%5D=document_number&fields%5B%5D=publication_date&fields%5B%5D=type,2026-08-23T14:29:34.687860+00:00,adbe92c736dc6f7e52b3e5a11cb2a15c0cc13c993521e3512588e647202afb4d,,
