index	text	rows	verdict	loud_or_silent	mechanism	decisive_quote	publisher_check
13	12 U.S.C.1462a	2	CORRECT		HOLA / Office of Thrift Supervision provision, real	usc_section_verdict=exists	well-settled HOLA section
14	PL 110-181, sec 890(a)	5	CORRECT		NDAA FY2008, real public law; sec 890(a) captured as stated_section evidence not identity	authority_type=public_law, parse_status=ok	govinfo /link/plaw/110/public/181 resolves to PLAW-110publ181.pdf -- confirmed real
15	Memorandum for the Attorney General (cont. in Additional Info.)	2	CORRECT		unparseable prose correctly typed presidential_document with no invented identity fields -- nothing asserted, nothing to misread	parse_status=partial, no title/section/EO fields populated	n/a -- no citation identity is asserted
16	332 USC 234 (1947)	6	MISREAD_GRAMMAR	SILENT	"the corpus's own sibling proves intent: the identical instrument appears elsewhere (same RIN 1510-AA45/AB25 family) as ""332 US 234 (1947)"" and is correctly read as case_citation (U.S. Reports vol 332 p 234); here the agency's own 'USC' abbreviation for the case reporter is taken literally and read as U.S. Code title 332 -- a title far outside any real USC title range"	usc_section_verdict is null (section-check never runs because usc_title=332 already fails usc_title_is_possible=false in the raw parquet) -- but usc_title_is_possible is NOT one of the evidence columns surfaced in this campaign's export (absent from the sample JSON's citation keys), so a consumer using the standard evidence view sees only parse_status=partial with no verdict field at all; SILENT under the surfaced-columns standard, though a deeper parquet query would catch it	Case is 332 U.S. 234 (1947); sibling rows for the same authority family (RIN 1510-AA45) file '332 US 234 (1947)' -> authority_type=case_citation, case_reporter='U. S.', case_volume=332, case_page=234 -- direct in-corpus proof of the intended identity
17	2277a-7,2277a-10	2	CORRECT		Farm Credit System Insurance Corporation sections, both real; corroborated to title 12 via rin-history-section-list	corroboration_rule=rin-history-section-list, usc_section_verdict=exists for both	Cornell 12/2277a-7: 'General corporate powers'; 12/2277a-10: 'Powers of Corporation with respect to troubled insured System banks' -- both confirmed real
18	21 USC 134a to 134h	12	CORRECT		era-correct-but-stale: real animal-quarantine sections repealed 2000, filed here 1998-2002, before repeal -- textbook example the original survey itself named as CORRECT	usc_section_verdict=exists, usc_section_end=134h correctly captured (standalone bare-to-bare range, endpoint preserved)	matches the original 2026-08-22 survey's own named example verbatim ('21 USC 134a to 134h (repealed 2000)') scored CORRECT under the era-correct-but-stale doctrine
19	20 U.S.C. 241	1	CORRECT		era-correct-but-stale: part of the old federally-impacted-areas school aid block (240 to 241-1), repealed 1994 by Pub. L. 103-382; filed 2017, 23 years after repeal, but parser read faithfully what a real historical section stated	usc_section_verdict=exists (Table III still carries the block)	Cornell 20/240 (block head): '20 U.S. Code S 240 to 241-1 - Repealed. Pub. L. 103-382, title III, S 331(b), Oct. 20, 1994, 108 Stat. 3965' -- 241 falls inside this repealed range, confirming it once existed
20	Reorganization Plan No 7 of 1961, 26 FR 7315, August 12, 1961: PL 89-56, 70 Stat 195	4	MISREAD_LAUNDERED	LOUD	PL and Stat volume paired together do not identify the same instrument: page 195 of Statutes at Large vol. 70 is Public Law 540 (84th Congress, May 28, 1956, Agricultural Act of 1956, Sec. 108-119 conservation reserve provisions), not any 89th-Congress law -- 89-56/70-Stat is chronologically impossible (89th Congress convened 1965, four years after this 1961 reorg plan and nine years after vol. 70)	statute_volume_matches_public_law=FALSE (explicit boolean cross-check column in the artifact); pl_congress_in_series=true and stat_volume_in_series=true individually, so only the cross-check catches the mismatch	govinfo /link/statute/70/195 redirects to STATUTE-70-Pg188.pdf; page 195 (PDF page 8) reads 'PUBLIC LAW 540-MAY 28, 1956 [70 STAT.]' with Secs. 108-119 (Soil Bank Act conservation-reserve text) -- confirms 70 Stat. 195 is not any 89th-Congress law, and matches the original 2026-08-22 survey's class A1 finding on this exact specimen family, now confirmed by direct publisher check instead of formula alone
21	15 USC 80a 37(a)	9	MISREAD_LAUNDERED	LOUD	hyphen lost between the Investment Company Act chapter designator '80a' and section '37': the bare '80a' is not itself a section (only the chapter prefix), while 80a-37 is real ('Rules, regulations, and orders'); this is the exact specimen the original 2026-08-22 survey named under 'separator damage'	usc_section_verdict=absent on both rows	Cornell 15/80a: 404 (not a section); Cornell 15/80a-37: '15 U.S. Code S 80a-37 - Rules, regulations, and orders' -- confirmed real, confirming the lost hyphen
22	21 USC 601 to 605	7	CORRECT		Federal Meat Inspection Act definitions range, real; standalone bare-to-bare range, endpoint correctly captured	usc_section_verdict=exists, usc_section_end=605 present	well-settled FMIA definitions range
23	5 USC 6304(f)	1	CORRECT		annual leave accumulation ceiling section, real; subsection dropped as residue	usc_section_verdict=exists	well-settled 5 U.S.C. 6304
24	23 USC 201, 23 USC 205	2	CORRECT		Federal-aid highway program sections, both real	usc_section_verdict=exists for both	well-settled Title 23 sections
25	33 U.S.C. 577	5	CORRECT		river/harbor improvement projects section, real	usc_section_verdict=exists	Cornell 33/577: '33 U.S. Code S 577 - Small river and harbor improvement projects' -- confirmed real
26	47 FR 14874	1	CORRECT		plain FR citation, volume 47 = 1982, matches filing era (200304)	n/a -- federal_register type, literal fields	FR volume arithmetic consistent (vol 47 = 1936+46 = 1982)
27	Executive Order 11988	7	CORRECT		real 1977 Floodplain Management EO	authority_type=executive_order, parse_status=ok	well-known real EO
28	5 USC 4302	2	CORRECT		performance appraisal systems section, real	usc_section_verdict=exists	well-settled 5 U.S.C. 4302
29	18 U.S.C. 3568 (repealed November 1, 1987, as to offenses committed on or after that date)	2	CORRECT		repealed-but-real: the CURRENT, live 28 CFR 523 authority note quotes this exact citation with the exact same parenthetical verbatim -- the strongest possible confirmation the parser read the agency's (and the regulation's own) words faithfully	usc_section_verdict=absent (Table III purges it, since OLRC's prelim edition carries no stub at all for 3568, unlike some repealed sections that keep a stub) -- a false-positive 'absent' flag on an actually-CORRECT citation; authority_in_own_cfr_note=present confirms it independently	eCFR 28 CFR part 523 authority note (2024-01-01 snapshot): '5 U.S.C. 301; 18 U.S.C. 3568 (repealed November 1, 1987, as to offenses committed on or after that date), 3621, 3622, ...' -- exact verbatim match to the authority_text
30	12 U.S.C. 2244	6	CORRECT		Farm Credit Administration chairman/governing-standards section, real	usc_section_verdict=exists	Cornell 12/2244: '12 U.S. Code S 2244 - Chairman; responsibilities; governing standards' -- confirmed real
31	42 USC 5403	43	CORRECT		manufactured housing construction/safety standards section (HUD), real	usc_section_verdict=exists	well-settled 42 U.S.C. 5403
32	26 USC 6041	50	CORRECT		information returns section, real	usc_section_verdict=exists	well-settled 26 U.S.C. 6041
33	49 U.S.C. 46507	161	CORRECT		special aircraft jurisdiction / aircraft piracy section, real	usc_section_verdict=exists	well-settled 49 U.S.C. 46507
34	Articles 12 and 29 (61 Stat 1180)	1	CORRECT		international-convention statute citation, single Stat volume, no internal contradiction found	stat_volume_in_series presumed true (era-consistent, vol 61 = 1947)	no contrary evidence found; not independently pinned to a specific convention text
35	5 USC 301)	14	CORRECT		agency organization/department regulations section, real; stray trailing paren in the source text itself does not affect the parse	usc_section_verdict=exists	well-settled 5 U.S.C. 301
36	47 U.S.C. 151	919	CORRECT		Communications Act / creation of FCC section, real, extremely high-volume canonical citation	usc_section_verdict=exists throughout	well-settled 47 U.S.C. 151
37	EO 12851, 58 FR 33181, 3 CFR, 1993 Comp, p. 608	3	CORRECT		all three components (EO number, FR cite, EO-compilation cite) captured as literally stated; era-consistent (1993)	parse_status=partial for each, no contradicting evidence found	internally consistent; not independently re-verified against archives.gov (page structure changed, no result)
38	8 U.S.C. 1184(g)	13	CORRECT		temporary-worker visa provisions (H-1B etc.) section, real; subsection dropped as residue	usc_section_verdict=exists	well-settled 8 U.S.C. 1184
39	secs. 501, 510, 513, 515, 520, 522, and 701 of the FD&C Act (21 U.S.C. 351, 360, 360c, 360e, 360j, 360l, and 371)	70	CORRECT		all seven FD&C-Act-section-to-USC mappings are correct (501=351 adulteration, 510=360 registration, 513=360c device classification, 515=360e premarket approval, 520=360j general device provisions, 522=360l postmarket surveillance, 701=371 regulations/hearings); note stated_section is bugged (frozen at '501' for all seven ordinals) but that is an evidence-column defect, not an identity defect -- the usc_title/usc_section identity is correctly distinct per ordinal	usc_section_verdict=exists for all seven	all seven FD&C Act section-to-U.S.C. correspondences are well-settled and independently verifiable; identity fields correct despite the stated_section evidence bug
40	5 USC 5307(d)	13	CORRECT		pay-cap/locality-pay section, real; subsection dropped as residue	usc_section_verdict=exists	well-settled 5 U.S.C. 5307
41	5 U.S.C. 5520a	3	CORRECT		garnishment-of-pay section, real	usc_section_verdict=exists	Cornell 5/5520a: '5 U.S. Code S 5520a - Garnishment of pay' -- confirmed real
42	30 U.S.C 22	2	CORRECT		General Mining Law location-of-claims section, real	usc_section_verdict=exists	well-settled 30 U.S.C. 22
43	PL 112-34	5	CORRECT		real 112th-Congress public law, no Stat volume paired to cross-check	authority_type=public_law, parse_status=ok	govinfo /link/plaw/112/public/34 resolves to PLAW-112publ34.pdf -- confirmed real
44	22 USC 2752, 2778, 2780, 2791, and 2797	40	CORRECT		Arms Export Control Act sections, all real and match the ITAR/DDTC CFR-note context (22 CFR 120/126)	usc_section_verdict=exists for all five	well-settled AECA sections, consistent with ITAR authority context
45	12 USC 2013 to 2015	34	CORRECT		Farm Credit Act range, real; standalone bare-to-bare range, endpoint correctly captured	usc_section_verdict=exists, usc_section_end=2015 present	well-settled Farm Credit Act range
46	18 USC 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part as to offenses committed on or after November 1, 1987), 5006-5024 (Repealed October 12, 1984 as to offenses committed)	48	CORRECT		this is the exact shape the original 2026-08-22 survey's class B0 flagged as generating phantom sections 18 U.S.C. 1987 (from '...1987') and 18 U.S.C. 1984 (from '...1984'), fixed at HEAD commit f05791de; the rebuild-#11 artifact under adjudication emits ONLY the eight real sections (3621, 3622, 3624, 4001, 4042, 4081, 4082, and the 5006-5024 range with usc_section_end correctly captured) and NO phantom 1987/1984 rows -- direct confirmation the B0 fix has propagated into this artifact	usc_section_verdict=exists for all eight; no phantom rows present	positive finding: B0 fix (commit f05791de) is live in the artifact under adjudication, not merely at HEAD
47	40 USC 506(a)	13	CORRECT		Public Buildings Act inventory-controls section, real; subsection dropped as residue	usc_section_verdict=exists	Cornell 40/506: '40 U.S. Code S 506 - Inventory controls and systems' -- confirmed real
48	15 U.S.C. 3301 TO 3432	1	CORRECT		Natural Gas Policy Act of 1978 spans exactly 15 U.S.C. 3301-3432, matching the FERC delegation-of-authority CFR-note context (18 CFR 375); wide range but both endpoints are correctly the true extremes of the same act	usc_section_verdict=exists, usc_section_end=3432 present	Cornell 15/3301: 'Definitions'; 15/3432: 'Effect on State laws' -- both confirmed real, matching the known extent of the Natural Gas Policy Act of 1978
49	15 USC 78bb(i)(2)	1	CORRECT		Exchange Act savings-clause section, real; subsection dropped as residue	usc_section_verdict=exists	well-settled 15 U.S.C. 78bb
50	26 USC 1805	1	MISREAD_LAUNDERED	LOUD	section falls in a genuine numbering gap of Title 26 (between the end of subtitle A and the start of subtitle B at 2001) and does not exist; original 2026-08-22 survey named this exact specimen as a confirmed misread whose correction it could only infer, not confirm -- same status here	usc_section_verdict=absent; authority_in_own_cfr_note=near-miss, cfr_note_part=26 CFR 1	Cornell 26/1805: 404 'Page not found' -- confirmed does not exist; no confirmed correction identified (matches original survey's own inability to pin the correction)
51	49 USC 44916-44918	1	CORRECT		aviation-security screening provisions range, real; standalone hyphenated range, endpoint correctly captured	usc_section_verdict=exists, usc_section_end=44918 present	Cornell 49/44916: 'Assessments and evaluations'; 49/44918: 'Crew training' -- both confirmed real
52	PL 105-33, sec 4321 of the BBA	5	CORRECT		Balanced Budget Act of 1997, real public law; sec 4321 captured as stated_section evidence not identity	authority_type=public_law, parse_status=partial	govinfo /link/plaw/105/public/33 resolves to PLAW-105publ33.pdf -- confirmed real
53	22 U.S.C. 287c	369	CORRECT		UN Participation Act military-assistance section, real, extremely high-volume canonical export-control citation	usc_section_verdict=exists throughout	well-settled 22 U.S.C. 287c
54	50 USC app sec 2061 et seq	2	CORRECT		Defense Production Act of 1950, pre-2014-recodification Appendix numbering (2010-2011 filing, before the 2014 move to 50 U.S.C. 4501 et seq.); the parser captures title 50 + usc_appendix=true correctly and preserves '2061' as stated_section evidence without asserting a wrong specific section identity -- a conservative partial read, not a misstatement	no wrong value asserted; residue (specific section number) simply not promoted to the identity field	Defense Production Act's pre-2014 Appendix numbering (50 U.S.C. App. 2061 et seq.) is well documented; era-consistent with the 2010-2011 filing
55	47 USC 219	22	CORRECT		common-carrier annual-reports section, real	usc_section_verdict=exists	well-settled 47 U.S.C. 219
56	332 US 234 (1947)	8	CORRECT		correctly read as a case citation (U.S. Reports vol. 332, p. 234), unlike the mis-transcribed sibling '332 USC 234' at item 16 -- this is the corpus's own correctly-parsed twin of that specimen	authority_type=case_citation, case_reporter='U. S.', case_volume=332, case_page=234	sibling comparison with item 16 confirms this is the properly-read form of the identical 1947 Supreme Court case
57	12 USC 1443	4	CORRECT		national bank stock/obligations forms section, real	usc_section_verdict=exists	Cornell 12/1443: '12 U.S. Code S 1443 - Forms of bank stock and obligations' -- confirmed real
58	26 U.S.C. 996	19	CORRECT		DISC (Domestic International Sales Corporation) taxable-income section, real	usc_section_verdict=exists	well-settled 26 U.S.C. 996
59	CAA sec 211(h)	1	CORRECT		Clean Air Act sec 211 correctly resolved to 42 U.S.C. 7545 (fuel and fuel-additive regulation), the well-known correspondence	corroboration_rule=agency-roster-initialism, act_resolution_evidence=table3-classification	CAA S211 = 42 U.S.C. 7545 is a well-settled correspondence
60	5 U.S.C. ch. 10 and E.O. 12024 (42 FR 61445	3	CORRECT		all three components (Title 5 ch.10 'Boards, Commissions, and Similar Groups', EO 12024, FR cite) captured as literally stated; the unclosed parenthesis is a source-text truncation artifact, not a parser error; FR volume 42 = 1977 is era-consistent with EO 12024 (issued Dec. 1, 1977)	parse_status=partial for each, no contradicting evidence found	internally consistent era arithmetic (FR vol 42 = 1936+41 = 1977)
61	42 USC 2101	10	MISREAD_LAUNDERED	LOUD	produced section does not exist; near-miss to the CFR note's real cite 42 U.S.C. 2201 (Atomic Energy Act general Commission authority) -- single-digit substitution 2101/2201; original 2026-08-22 survey named this exact specimen and could only infer, not confirm, the correction -- now confirmed via the actual publisher-fetched authority note	usc_section_verdict=absent; authority_in_own_cfr_note=near-miss, cfr_note_part=48 CFR 970	Cornell 42/2101: 404 'Page not found'. 48 CFR part 970 authority note (eCFR, 2024-01-01 snapshot): '42 U.S.C. 2201; 2282a; 2282b; 2282c; 42 U.S.C. 7101 et seq.; 50 U.S.C. 2401 et seq.' -- 2101 is a one-digit substitution near-miss of the real 2201
62	sec. 305 of the NASA Transition Authorization Act of 2017 (Pub. L. 115-10)	4	CORRECT		real public law; sec 305 captured as stated_section/stated_act_name evidence not identity	authority_type=public_law, parse_status=partial	govinfo /link/plaw/115/public/10 resolves to PLAW-115publ10.pdf -- confirmed real
63	12 USC 481-482	2	CORRECT		national bank examinations range, real; standalone hyphenated range, endpoint correctly captured	usc_section_verdict=exists, usc_section_end=482 present	well-settled Title 12 examinations range
64	46 U.S.C. 3308	4	CORRECT		vessel inspection/examinations section, real	usc_section_verdict=exists	Cornell 46/3308: '46 U.S. Code S 3308 - Examinations' -- confirmed real
65	23 U.S.C. 125	10	CORRECT		emergency relief highway-program section, real	usc_section_verdict=exists	well-settled 23 U.S.C. 125
66	12 USC 1141j(a)	14	CORRECT		Federal Intermediate Credit Banks miscellaneous-provisions section, real; subsection dropped as residue	usc_section_verdict=exists	Cornell 12/1141j: '12 U.S. Code S 1141j - Miscellaneous provisions' -- confirmed real
67	22 U.S.C. 1750	2	CORRECT		era-stale-but-real: section repealed 1961 (Pub. L. 87-195), filed here 2021-2022, 60 years after repeal, but the parser faithfully read what was once a real section (matches the same doctrine used for items 18/19/29)	usc_section_verdict=exists (OLRC keeps a repealed-block stub, unlike item 2's fully-purged 7783)	OLRC/Cornell 22/1750: '22 USC 1750 to 1753a: Repealed. Pub. L. 87-195, pt. III, S 642(a)(2), (5), Sept. 4, 1961, 75 Stat. 460' -- confirms historical reality; worth flagging as a borderline case since the citation is functionally dead for 60+ years at time of filing, but the rubric scores faithful transcription of a once-real section as CORRECT regardless of staleness
68	26 USC 5706	1	CORRECT		tobacco-tax drawback section, real	usc_section_verdict=exists (near-miss cfr flag is about CFR-note coverage, not existence)	well-settled 26 U.S.C. 5706
69	18 USC 3565, 3568 to 3569, 3582, 3621 to 3622, 3624, 4001, 4042, 4081 to 4082	56	DROPPED	SILENT	three separate 'X to Y' range endpoints embedded within one comma-separated list (3569, 3622, 4082) are ALL silently dropped -- each only the start of its range is emitted (3568, 3621, 4081), each with no usc_section_end, no extra row, no flag -- even though the live CFR authority note independently confirms all three endpoints are real, distinct historical sections; contrast the SAME text's own '5006-5024' style hyphen range at item 46's sibling text, which correctly captured its usc_section_end	no usc_section_end for any of the three 'to' ranges; parse_status=partial gives no specific signal	eCFR 28 CFR part 571 authority note (2024-01-01 snapshot): '18 U.S.C. 3565; 3568 and 3569 (Repealed in part...), 3582, 3621, 3622, 3624, 4001, 4042, 4081, 4082 (Repealed in part...), ...' -- confirms 3569, 3622, and 4082 are each real, distinct, currently-cited historical authorities that never appear as their own row or field in the artifact
70	49 USC 1341(c)	1	CORRECT		old (pre-1994-recodification) Title 49 numbering; the artifact's own usc_disposition_verdict='repealed-no-successor' independently confirms this WAS a real section, later repealed with no direct successor -- matches the doctrine explicitly endorsed in the original 2026-08-22 survey's confidence section for citations 'real but repealed or renumbered before the edition that filed it'	usc_section_verdict=unknown (reason: title_49_appendix_not_published); usc_disposition_verdict=repealed-no-successor, usc_disposition_pinpoint=(c) -- a rich, LOUD signal on a citation that is nonetheless CORRECT	artifact's own disposition table (not an external publisher, since pre-1994 title 49 is not separately hosted at the checked publishers) confirms repealed-no-successor status, consistent with old Federal Aviation Act numbering
71	42 USC 6508	6	CORRECT		energy-conservation section, real though marked 'Transferred' at Cornell (moved during a later reorganization); faithfully read	usc_section_verdict=exists	Cornell 42/6508: '42 U.S. Code S 6508 - Transferred' -- confirms historical reality of the section
72	12 USC 1701z to 1712	2	CORRECT		National Housing Act range, real; standalone bare-to-bare range, endpoint correctly captured	usc_section_verdict=exists, usc_section_end=1712 present	well-settled National Housing Act range
73	42 U.S.C. 405(d) to 506 (h)	1	DROPPED	SILENT	'X to Y' range whose both sides carry parenthesized subsections; only the start (405(d), real: 'Evidence, procedure, and certification for payments') is emitted, the endpoint '506(h)' -- itself an independently real, distinct section ('Grants to States for reemployment services and eligibility assessments') -- is silently absorbed with no usc_section_end, no second row, no refusal; same mechanism as items 11 and 69	usc_section_end is null/absent; parse_status=partial gives no specific signal	Cornell 42/405: real ('Evidence, procedure, and certification...'); Cornell 42/506: real ('Grants to States for reemployment services...') -- both endpoints of the stated range independently confirmed real and distinct, yet only the first survives to the artifact
74	Sec 901-911, PL 106-387	4	CORRECT		real public law; sec 901-911 captured as stated_section evidence not identity	authority_type=public_law, parse_status=partial	govinfo /link/plaw/106/public/387 resolves to PLAW-106publ387.pdf -- confirmed real
