index	text	rows	verdict	loud_or_silent	mechanism	decisive_quote	publisher_check
23	42 USC 7401/CAA 112	1	DROPPED	SILENT	act-name cross-reference silently not emitted as a second citation	"CAA sec. 112 = 42 U.S.C. 7412 (""Hazardous air pollutants""), NOT 7401 (""Congressional findings and declaration of purpose"", CAA sec. 101). The SAME RINs (2060-AF04/AF09/AF11) prove the grammar can and does resolve ""Clean Air Act sec 112"" to 7412 correctly -- at edition 199710 the box split the text into two ordinals, ""42 USC 7401"" and ""Clean Air Act sec 112"", and the second row is authority_type='act_relative', parse_status='resolved', usc_section='7412'. But for the compact one-string form ""42 USC 7401/CAA 112"" (11 rows across all three RINs, editions 199510-199704, confirmed by direct DB query), only the 7401 citation is ever emitted -- no second row, no refusal, for the CAA-112/7412 authority the text also names."	law.cornell.edu/uscode/text/42/7401 ; /42/7412 ; DB: authority_text='42 USC 7401/CAA 112' (11 rows, single citation each) vs. same RINs' 199710 split rows (act_relative -> 7412)
24	PL 86-211	1	CORRECT		n/a	Bare Public Law citation with no accompanying Statutes volume to cross-check; congress-number is in-series (86th Congress, 1959-61) and the transcription matches the text verbatim. No contradicting evidence found within budget.	no independent oracle located (pre-1995 slip law, outside govinfo's digitized PLAW coverage)
25	29 U.S.C. 1002 (21)	1	CORRECT		n/a	"29 U.S.C. 1002 is ERISA sec. 3 ""Definitions"", whose paragraphs are NUMBERED (not lettered), so ""(21)"" is a legitimate numbered-definition pinpoint, not a suffix-vs-subsection ambiguity."	law.cornell.edu/uscode/text/29/1002
26	49 USC 40113	1	CORRECT		n/a	"Cornell: ""49 U.S. Code Section 40113 - Administrative"" -- real, canonical FAA general rulemaking-authority section."	law.cornell.edu/uscode/text/49/40113
27	45 USC 231f	1	CORRECT		n/a	"Cornell: ""45 U.S. Code Section 231f - Railroad Retirement Board"" -- real, matches."	law.cornell.edu/uscode/text/45/231f
28	49 U.S.C. 44717	1	CORRECT		n/a	"Cornell: ""49 U.S. Code Section 44717 - Aging aircraft"" -- real, matches."	law.cornell.edu/uscode/text/49/44717
29	42 USC 2473(c)	1	CORRECT		n/a	"42 U.S.C. 2473(c) is NASA Space Act sec. 203(c) (""Powers of the Administration""), a real and once-widely-cited FAR authority; earliest edition here is 199510, before the 2010 transfer of NASA/space law into new Title 51 (which is why current OLRC now returns ""does not exist"" for 42 U.S.C. 2473 -- era-correct-but-stale, same doctrine as item 12/42). FAR-council RINs (9000-*) legitimately co-cite NASA's own Space Act authority because NASA co-issues the FAR."	"uscode.house.gov (current title 42, sec. 2473: ""Document not Found""/""does not exist"" -- confirms the 2010 transfer, consistent with era-correct-but-stale)"
30	PL 105-206, sec 1201	1	CORRECT		n/a	Pub. L. 105-206 is the well-known IRS Restructuring and Reform Act of 1998, a very large multi-title law; sec. 1201 falls within its plausible section range. No accompanying Stat volume to cross-check for internal contradiction.	not individually re-fetched (well-established law; govinfo PLAW package for 105th Congress not probed beyond budget)
31	12 USC 26 and 27	1	CORRECT		n/a	"Cornell: 12 U.S.C. 26 ""Comptroller to determine if association can commence business""; 12 U.S.C. 27 ""Certificate of authority to commence banking"" -- both real, matches the two-item list."	law.cornell.edu/uscode/text/12/26 ; /12/27
32	38 U.S.C. 7009	1	MISREAD_LAUNDERED	LOUD	produced section does not exist	"OLRC: title 38 section 7009 returns ""Document not Found"" / ""does not exist"". Sibling authorities on the same RIN (2900-AQ26, editions 201804-201904) list a coherent Board-of-Veterans'-Appeals authority stack (101, 5103-5104, 5108-5110, 7101, 7103-7105) alongside a SECOND block -- 7007, 7009, 7011, 7013 -- that is ALSO entirely nonexistent (all four checked, all 404); this whole odd-numbered block looks like a source-side numbering error, not a single stray digit. Matches the 2026-08-22 report's own ""produced section does not exist"" specimen list verbatim (""38 U.S.C. 7009""). The artifact's own usc_section_verdict='absent' flags it -- LOUD."	"uscode.house.gov (title38/section7009, 7007, 7011, 7013 all ""does not exist""); law.cornell.edu/uscode/text/38/7101 (real, for contrast)"
33	Health Insurance Portability and Accountability Act (PL 104-191)	1	CORRECT		n/a	"Pub. L. 104-191 is HIPAA -- the text's own stated_act_name (""Health Insurance Portability and Accountability Act"") matches the public law number exactly; extremely well-attested."	well-established; not individually re-fetched
34	12 U.S.C. 1701-1	1	MISREAD_LAUNDERED	LOUD	produced section does not exist	"OLRC: title 12 section 1701-1 returns ""Document not Found"" / ""does not exist"". DB sibling context on RIN 2506-AC52 (HUD) shows this RIN's full authority stack every edition 2019-2025: ""12 U.S.C. 1701x"" (real -- Housing research/technology sec.), ""12 U.S.C. 1701-1"" (this value), ""42 U.S.C. 3535(d)"", ""42 U.S.C. 5301 to 5320, Pub. L. 115-97"" -- the 1701-1 form persists unchanged for six years next to the correctly-read 1701x, suggesting a stable source-side numbering artifact rather than an OCR fluke. Matches the 2026-08-22 report's own ""produced section does not exist"" specimen list verbatim (""12 U.S.C. 1701-1""). usc_section_verdict='absent' -- LOUD."	"uscode.house.gov (title12/section1701-1: ""does not exist""); DB: RIN 2506-AC52 authority_text history 201904-202510"
35	PL 103-66, sec 13961	1	CORRECT		n/a	Pub. L. 103-66 is the well-known Omnibus Budget Reconciliation Act of 1993; its Title XIII carried the food-stamp/farm provisions in the 13001-13971 section range, so sec. 13961 is plausible for a food-stamp RIN (0584-*). No accompanying Stat volume to cross-check.	not individually re-fetched (pre-1995 slip law, outside govinfo's digitized PLAW coverage)
36	EO 12656	1	CORRECT		n/a	"EO 12656 (""Assignment of Emergency Preparedness Responsibilities"") is a well-known, frequently-cited executive order."	well-established; not individually re-fetched
37	10 U.S.C. 7420	1	CORRECT		n/a	"Cornell: ""10 U.S. Code Section 7420 - Recruit basic training: privacy"" -- real, and the emitted identity (title 10, sec. 7420) matches exactly what the text states. The pairing with a BIS export-control RIN (0694-*) is substantively odd, but that is a question about the agency's choice of authority, not about whether the parser read the cited number correctly."	law.cornell.edu/uscode/text/10/7420
38	38 USC 3080	1	MISREAD_LAUNDERED	LOUD	produced section does not exist	"OLRC: title 38 section 3080 returns ""Document not Found"" / ""does not exist"". Sibling authorities on RIN 2900-AK81 (2001-2003 editions) are a coherent Montgomery GI Bill stack (3011-3012, 3015, 3018C) followed by 3080 then 16132 -- both large jumps from the real neighbors, consistent with a source-side transcription error. Matches the 2026-08-22 report's own ""produced section does not exist"" specimen list verbatim (""38 USC 3080""). usc_section_verdict='absent' -- LOUD."	"uscode.house.gov (title38/section3080: ""does not exist"")"
39	30 USC 811	1	CORRECT		n/a	30 U.S.C. 811 is a real, canonical Federal Mine Safety and Health Act standards section.	well-established; not individually re-fetched
40	5 USC 552a	1	CORRECT		n/a	5 U.S.C. 552a is the Privacy Act -- canonical, extremely well-attested.	well-established; not individually re-fetched
41	30 USC 7	1	CORRECT		n/a	"Cornell: ""30 U.S. Code Section 7 - Fees for tests or investigations"" -- real, matches."	law.cornell.edu/uscode/text/30/7
42	49 USC 1371 to 1374	1	CORRECT		n/a	"Quoted directly in the 2026-08-22 report's own confidence section as CORRECT: ""49 USC 1371 to 1374 (repealed 1994)"". The artifact's newer usc_disposition_verdict column now confirms this explicitly: 'exists-as-recodified' / reason 'title_49_appendix_not_published' -- the section was real pre-1994 recodification and is now tracked as a recodified disposition, not flagged as an error."	"research/evidence/silent-misreads-2026-08-22.md, ""Confidence, stated honestly""; DB: usc_disposition_verdict='exists-as-recodified' for this text"
43	7 USC 5602, 5622, 5661, 5662, 5663, 5664, 5676	2	CORRECT		n/a	"Cornell: ""7 U.S. Code Section 5602 - Definitions""; ""7 U.S. Code Section 5676 - Limitation on use of certain export promotion programs"" -- both real, and both bracket ends of the seven-section list (5602, 5622, 5661-5664, 5676), an Agricultural Trade Act export-credit-program stack consistent with the RIN."	law.cornell.edu/uscode/text/7/5602 ; /7/5676
44	42 USC 7412	2	CORRECT		n/a	"Cornell: ""42 U.S. Code Section 7412 - Hazardous air pollutants"" -- CAA sec. 112, canonical, extremely well-attested."	law.cornell.edu/uscode/text/42/7412
45	42 U.S.C. 5841	1	CORRECT		n/a	42 U.S.C. 5841 (Energy Reorganization Act, NRC establishment) is canonical, well-attested.	well-established; not individually re-fetched
46	Pub. L. 116-139	1	CORRECT		n/a	"govinfo: ""Public Law 116-139... Paycheck Protection Program and Health Care Enhancement Act"" -- matches, real, current for SBA RINs (3245-*)."	govinfo.gov/app/details/PLAW-116publ139
47	21 USC 321	3	CORRECT		n/a	21 U.S.C. 321 is the FDCA definitions section -- canonical, extremely well-attested (rows=3, highest-frequency unit in this batch).	well-established; not individually re-fetched
48	49 U.S.C. 1321	1	CORRECT		n/a	"Cornell: ""49 U.S. Code Section 1321 - Powers"", located at Subtitle II > Chapter 13 > Subchapter II -- the Interstate Commerce/rail chapters, consistent with the three corroborating Surface Transportation Board CFR notes (49 CFR 1101, 1180, 1247) all marked 'present'."	law.cornell.edu/uscode/text/49/1321 (breadcrumb: SUBTITLE II > CHAPTER 13 > SUBCHAPTER II > Section 1321)
49	25 USC 372	1	CORRECT		n/a	"Cornell: ""25 U.S. Code Section 372 - Ascertainment of heirs of deceased allottees; settlement of estates; sale of lands; deposit of Indian moneys"" -- real, matches."	law.cornell.edu/uscode/text/25/372
50	15 U.S.C. 77a et seq.	1	CORRECT		n/a	15 U.S.C. 77a is the Securities Act's opening section -- canonical.	well-established; not individually re-fetched
51	35 USC 6	1	CORRECT		n/a	"Cornell: ""35 U.S. Code Section 6 - Patent Trial and Appeal Board"" -- real; the section's substance changed with the 2011 America Invents Act (formerly ""Board of Patent Appeals and Interferences""), but the citation identity (title 35, sec. 6) has been continuously valid across the RIN's full 1995-2024 span, so this is not a misread, just a section whose content was amended."	law.cornell.edu/uscode/text/35/6
52	21 USC 351 to 353	1	CORRECT		n/a	21 U.S.C. 351-353 (FDCA adulteration/misbranding/exemptions) is a canonical, well-attested range.	well-established; not individually re-fetched
53	21 USC 374	1	CORRECT		n/a	21 U.S.C. 374 (FDCA factory inspection) is canonical, well-attested.	well-established; not individually re-fetched
54	47 USC 201-205	1	CORRECT		n/a	47 U.S.C. 201-205 (Communications Act common-carrier sections) is a canonical, well-attested range.	well-established; not individually re-fetched
55	33 U.S.C. 1313(c)(4)(B)	1	CORRECT		n/a	33 U.S.C. 1313(c)(4)(B) is the CWA water-quality-standards / TMDL provision -- canonical, well-attested, and a real subsection.	well-established; not individually re-fetched
56	8 USC 1153	1	CORRECT		n/a	8 U.S.C. 1153 (INA preference immigrant visa allocation) is canonical, well-attested.	well-established; not individually re-fetched
57	PL 96-83	1	CORRECT		n/a	Bare Public Law citation with no accompanying Statutes volume to cross-check; congress-number is in-series (96th Congress, 1979-81) and matches the text verbatim. No independent title located within budget (pre-1995 slip law, outside govinfo's digitized PLAW coverage); no contradicting evidence found.	no independent oracle located within budget
58	12 U.S.C. 1829b	1	CORRECT		n/a	"Cornell: ""12 U.S. Code Section 1829b - Retention of records by insured depository institutions"" -- real, and is the correctly-spelled-out companion to item 17's parenthesized misread (same corpus, both spellings coexist)."	law.cornell.edu/uscode/text/12/1829b
59	21 USC 331	2	CORRECT		n/a	21 U.S.C. 331 (FDCA prohibited acts) is canonical, extremely well-attested.	well-established; not individually re-fetched
60	7 U.S.C. 7781 to 7786	1	CORRECT		n/a	"Cornell: ""7 U.S. Code Section 7781 - Definitions""; ""7 U.S. Code Section 7786 - Authorization of appropriations"" -- both ends of the span (Plant Protection Act) confirmed real."	law.cornell.edu/uscode/text/7/7781 ; /7/7786
61	23 USC 101	1	CORRECT		n/a	23 U.S.C. 101 (Federal-Aid Highway Act definitions) is canonical, well-attested.	well-established; not individually re-fetched
62	49 USC 30117	1	CORRECT		n/a	"Cornell: ""49 U.S. Code Section 30117 - Providing information to, and maintaining records on, purchasers"" -- real, matches (NHTSA purchaser-record-keeping authority)."	law.cornell.edu/uscode/text/49/30117
63	15 U.S.C. 78l	1	CORRECT		n/a	15 U.S.C. 78l (Exchange Act registration requirements) is canonical, well-attested.	well-established; not individually re-fetched
64	29 U.S.C. 669	1	CORRECT		n/a	29 U.S.C. 669 (OSH Act research and statistics) is canonical, well-attested.	well-established; not individually re-fetched
65	49 USC 44701	1	CORRECT		n/a	49 U.S.C. 44701 (aviation certification general authority) is canonical, well-attested.	well-established; not individually re-fetched
66	EO 13222	1	CORRECT		n/a	EO 13222 (Continuation of Export Control Regulations, continued annually since 2001) is canonical, extremely well-attested.	well-established; not individually re-fetched
67	15 USC 1193, Flammable Fabrics Act	1	CORRECT		n/a	"Cornell: ""15 U.S. Code Section 1193 - Flammability standards or regulations"" -- real, and the text's own stated_act_name (""Flammable Fabrics Act"") correctly matches."	law.cornell.edu/uscode/text/15/1193
68	22 U.S.C. 7201 et seq	1	CORRECT		n/a	"Cornell: ""22 U.S. Code Section 7201 - Definitions"" -- real, plausible for an export-control/sanctions-adjacent RIN (0694-*)."	law.cornell.edu/uscode/text/22/7201
69	15 USC 78k-1	1	CORRECT		n/a	15 U.S.C. 78k-1 (Exchange Act National Market System) is canonical, well-attested.	well-established; not individually re-fetched
