year	member	bytes	member_mtime	gen1_match	gen2_match	verdict
2012	2012/2012USC33.htm	6694674	2013-12-24T10:19:14	no	title=33 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2012	2012/2012USC35.htm	1322788	2013-12-24T10:19:30	no	title=35 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2012	2012/2012USC36.htm	3636318	2013-12-24T10:19:40	no	title=36 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2012	2012/2012USC37.htm	2404925	2013-12-24T10:19:48	no	title=37 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2012	2012/2012USC38.htm	9300152	2013-12-24T10:19:58	no	title=38 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2012	2012/2012USC39.htm	1132209	2013-12-24T10:20:04	no	title=39 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2012	2012/2012USC40.htm	2384959	2013-12-24T10:20:10	no	title=40 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2012	2012/2012USC41.htm	1427570	2013-12-24T10:20:16	no	title=41 appendix=False	SILENTLY SKIPPED TITLE VOLUME
2012	2012/2012uscPopularNames.htm	5043773	2013-05-07T11:47:00	no	no	not a title volume in either generation
2012	2012/2012uscTable1.htm	1707139	2013-05-03T12:01:02	no	no	not a title volume in either generation
2012	2012/2012uscTable2.htm	148235	2013-05-03T12:01:00	no	no	not a title volume in either generation
2012	2012/2012uscTable3.htm	26148894	2013-05-07T15:12:20	no	no	not a title volume in either generation
2012	2012/2012uscTable4.htm	283076	2013-05-03T12:00:58	no	no	not a title volume in either generation
2012	2012/2012uscTable5.htm	64619	2013-05-03T12:00:56	no	no	not a title volume in either generation
2012	2012/2012uscTable6.htm	21796	2013-06-13T14:11:42	no	no	not a title volume in either generation
2012	2012/index.html	21165	2014-08-11T11:20:08	no	no	not a title volume in either generation
2013	2013/2013usctable1.htm	1706033	2014-04-21T11:45:22	no	no	not a title volume in either generation
2013	2013/2013usctable2.htm	146947	2014-04-21T11:45:14	no	no	not a title volume in either generation
2013	2013/2013usctable4.htm	283800	2014-04-21T11:45:04	no	no	not a title volume in either generation
2013	2013/2013usctable5.htm	63591	2014-04-21T11:44:56	no	no	not a title volume in either generation
2013	2013/2013usctable6.htm	20364	2014-04-21T11:44:46	no	no	not a title volume in either generation
2013	2013/index.html	19448	2014-08-11T11:20:08	no	no	not a title volume in either generation
2014	2014/index.html	19433	2015-11-20T07:44:22	no	no	not a title volume in either generation
2014	2014/usc.css	19516	2013-08-26T13:55:58	no	no	not a title volume in either generation
2015	2015/index.html	17411	2016-09-28T14:58:40	no	no	not a title volume in either generation
2015	2015/usc.css	19516	2013-08-26T13:55:58	no	no	not a title volume in either generation
2016	2016/index.html	19090	2018-08-13T08:46:48	no	no	not a title volume in either generation
2016	2016/usc.css	19516	2013-08-26T13:55:58	no	no	not a title volume in either generation
2017	2017/index.html	18080	2018-08-13T08:46:48	no	no	not a title volume in either generation
2017	2017/usc.css	19516	2013-08-26T14:55:58	no	no	not a title volume in either generation
2018	2018/index.html	18088	2019-11-13T15:06:58	no	no	not a title volume in either generation
2019	2019/index.html	19077	2020-09-03T16:09:56	no	no	not a title volume in either generation
2020	2020/index.html	16787	2021-12-21T11:18:20	no	no	not a title volume in either generation
2020	2020/usc.css	19516	2013-08-26T13:55:58	no	no	not a title volume in either generation
2021	2021/index.html	17793	2022-10-17T10:30:52	no	no	not a title volume in either generation
2021	2021/usc.css	19516	2013-08-26T14:55:58	no	no	not a title volume in either generation
2022	2022/index.html	15453	2023-10-27T10:50:38	no	no	not a title volume in either generation
2022	2022/usc.css	19516	2013-08-26T13:55:58	no	no	not a title volume in either generation
2023	2023/index.html	16753	2024-07-10T15:25:48	no	no	not a title volume in either generation
2023	2023/usc.css	19516	2013-08-26T14:55:58	no	no	not a title volume in either generation
2024	2024/index.html	17452	2026-03-09T15:08:22	no	no	not a title volume in either generation

members inspected: 1835   matched by generation 1: 1769   matched by generation 2: 1781
title volumes generation 1 skipped: 12
year	member	bytes	member_mtime	title	appendix_suffix
2010	2010/2010USC12.htm	16580678	2011-07-21T15:46:46	12	''
2010	2010/2010USC13.htm	357215	2011-07-21T15:46:52	13	''
2010	2010/2010USC14.htm	1466350	2011-07-21T15:46:56	14	''
2010	2010/2010USC51.htm	1224174	2011-08-01T15:33:08	51	''
2012	2012/2012USC33.htm	6694674	2013-12-24T10:19:14	33	''
2012	2012/2012USC35.htm	1322788	2013-12-24T10:19:30	35	''
2012	2012/2012USC36.htm	3636318	2013-12-24T10:19:40	36	''
2012	2012/2012USC37.htm	2404925	2013-12-24T10:19:48	37	''
2012	2012/2012USC38.htm	9300152	2013-12-24T10:19:58	38	''
2012	2012/2012USC39.htm	1132209	2013-12-24T10:20:04	39	''
2012	2012/2012USC40.htm	2384959	2013-12-24T10:20:10	40	''
2012	2012/2012USC41.htm	1427570	2013-12-24T10:20:16	41	''
